dataset,split,protocol,seed,train_seed,support_query_seed,support_frac,method,method_label,method_family,is_oracle,drift_space,selected_hparams,selection_source,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
junyi,random,5922b271f52e9acf,2,2,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.8193115104994445,,0.3866895381051084,,0.7850253625776952,,0.8557733787087188,,
junyi,random,5922b271f52e9acf,2,2,,,EWC,EWC (lambda=1000),continual_learning_baseline,False,embedding,"{""lambda"": 1000}",fixed_from_existing_result,0.7548196950476345,0.7655686731819611,0.44170537682325356,0.43817682881170855,0.723655068943345,0.7195998749609253,0.7995023844080448,0.7829663682555045,0.09239353984594345
junyi,random,5922b271f52e9acf,2,2,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.8061262835590373,0.803553910767342,0.39704730966902163,0.4135654568672377,0.7678788311781096,0.7475773679274773,0.8376392983858878,0.8084904541681489,0.021414093673229218
junyi,random,5922b271f52e9acf,2,2,,,C-LoRA,C-LoRA (lambda=10.0),continual_learning_baseline,False,embedding,"{""lambda"": 10.0}",fixed_from_existing_result,0.7451221861727564,0.7829786845669505,0.43788756727800504,0.4286938585789418,0.7185825534043009,0.728196311347296,0.7956420233463035,0.7873303167420814,0.19774432480335236
junyi,random,5922b271f52e9acf,2,2,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.8098822990005492,0.782658986970628,0.3938230390990406,0.4268830471359809,0.7763092091162392,0.7227258518286964,0.8527627557018576,0.7927085767702734,0.0700719803571701
junyi,random,5922b271f52e9acf,2,2,,,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.8214400769266966,0.8158086549910114,0.3857887987226048,0.4073308628048978,0.7875973422876331,0.7567989996874023,0.8585161566649218,0.8173280112702512,0.040290072560310364
junyi,random,5922b271f52e9acf,2,2,,,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=0.1),gncdm_baseline,False,gncdm_concept,"{""lambda"": 0.1}",fixed_from_existing_result,0.7706531205645627,0.8085864098794381,0.454058633223179,0.41143481183361547,0.7010073587197256,0.7524226320725227,0.76828525552295,0.8135154226512833,0.14759241044521332
junyi,random,5922b271f52e9acf,2,2,,,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.7865490922355978,0.7251426833427314,0.4682476738552512,0.4719353558732285,0.686175580221998,0.7110362257792755,0.6287574606619641,0.5143018974794675,0.9575483202934264
junyi,random,5922b271f52e9acf,2,2,,,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8193115104994445,0.7938743750120604,0.3866895381051084,0.41825188477280467,0.7850253625776952,0.745545482963426,0.8557733787087188,0.8113994439295644,0.0
junyi,random,5922b271f52e9acf,2,2,,,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8193115104994445,0.7805720865926755,0.3866895381051084,0.4245993147376902,0.7850253625776952,0.7322600812753985,0.8557733787087188,0.8016672455713789,0.0
junyi,random,5922b271f52e9acf,3,3,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.8199502627417232,,0.38663067549505004,,0.7847395870543687,,0.8558993734755368,,
junyi,random,5922b271f52e9acf,3,3,,,EWC,EWC (lambda=1000),continual_learning_baseline,False,embedding,"{""lambda"": 1000}",fixed_from_existing_result,0.7529034999134008,0.7662219932128147,0.44934845737091084,0.43786556130531756,0.7143673644352361,0.7174116911534855,0.7893794120745969,0.7838871623236912,0.08744680881500244
junyi,random,5922b271f52e9acf,3,3,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.8000396286803736,0.7983147816590584,0.40047480151308656,0.4168763263784168,0.7645209687790241,0.7405439199749921,0.8354632587859425,0.8017673752089802,0.03442251309752464
junyi,random,5922b271f52e9acf,3,3,,,C-LoRA,C-LoRA (lambda=10.0),continual_learning_baseline,False,embedding,"{""lambda"": 10.0}",fixed_from_existing_result,0.7392650869231759,0.7892422019602208,0.43962474253960393,0.4251383171545781,0.7121526041294564,0.7331978743357299,0.7905380816220432,0.7929152007764163,0.19448137283325195
junyi,random,5922b271f52e9acf,3,3,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.81160771720816,0.7836389409404325,0.3936044099806721,0.4262892021819296,0.7777380867328714,0.730697092841513,0.8514113769881072,0.7911768270512665,0.05794292688369751
junyi,random,5922b271f52e9acf,3,3,,,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.8208683127987704,0.8151323355082853,0.3860071265773644,0.40849178629574645,0.7863113524326641,0.7589871834948422,0.8571428571428571,0.8176873965476472,0.051184892654418945
junyi,random,5922b271f52e9acf,3,3,,,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=0.1),gncdm_baseline,False,gncdm_concept,"{""lambda"": 0.1}",fixed_from_existing_result,0.7941658378355473,0.8071064655579296,0.508426349147654,0.41202197334847784,0.6387082946345646,0.7485151609878087,0.6833239401340097,0.8135357515355197,0.1323075294494629
junyi,random,5922b271f52e9acf,3,3,,,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.7865490922355978,0.7251426833427314,0.4682476738552512,0.4719353558732285,0.686175580221998,0.7110362257792755,0.6287574606619641,0.5143018974794675,0.9575483202934264
junyi,random,5922b271f52e9acf,3,3,,,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8199502627417232,0.7951543649152488,0.38663067549505004,0.4178052008401816,0.7847395870543687,0.7453891841200375,0.8558993734755368,0.8098517567409829,0.0
junyi,random,5922b271f52e9acf,3,3,,,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8199502627417232,0.7906215432371442,0.38663067549505004,0.41997035829305307,0.7847395870543687,0.7378868396373867,0.8558993734755368,0.8052038564293181,0.0
junyi,random,5922b271f52e9acf,5,5,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.8173564504331068,,0.38784048016086375,,0.7810245052511252,,0.8555675981339239,,
junyi,random,5922b271f52e9acf,5,5,,,EWC,EWC (lambda=1000),continual_learning_baseline,False,embedding,"{""lambda"": 1000}",fixed_from_existing_result,0.7492179340904952,0.7647563909531317,0.45295497991635325,0.4386758337569416,0.7119382724869615,0.7202250703344796,0.7883464566929134,0.7902015939990623,0.08623503893613815
junyi,random,5922b271f52e9acf,5,5,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.799363563639571,0.8024400280165658,0.40209790444587296,0.4144182766801349,0.760162892048296,0.7430447014692091,0.8314505196565748,0.8028304149676181,0.02251378260552883
junyi,random,5922b271f52e9acf,5,5,,,C-LoRA,C-LoRA (lambda=10.0),continual_learning_baseline,False,embedding,"{""lambda"": 10.0}",fixed_from_existing_result,0.7174679084063801,0.7809089425102363,0.45201763382998456,0.4296299588341578,0.6955776237765235,0.73210378243201,0.7791884748924703,0.7937921077959577,0.1992008239030838
junyi,random,5922b271f52e9acf,5,5,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.801761597702251,0.787087398438645,0.396200655602633,0.42406350333210924,0.7769522040437237,0.7356986558299469,0.8537841888347696,0.8012692443295334,0.06696492433547974
junyi,random,5922b271f52e9acf,5,5,,,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.8167915969951679,0.81368936762981,0.38843737881269885,0.40940392616131005,0.7805958419661356,0.755861206627071,0.8564349492777337,0.8178213202705855,0.03760493919253349
junyi,random,5922b271f52e9acf,5,5,,,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=0.1),gncdm_baseline,False,gncdm_concept,"{""lambda"": 0.1}",fixed_from_existing_result,0.6770149095980738,0.80823865399489,0.576292809083828,0.4122272265124808,0.5269700650139315,0.751953735542357,0.5545313866648724,0.8155294664651865,0.1341886669397354
