dataset,split,protocol,seed,train_seed,support_query_seed,support_frac,method,method_label,method_family,is_oracle,drift_space,selected_hparams,selection_source,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
math1,random,2f297742f011b7e7,2,2,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.8057585168521547,,0.42572753848236156,,0.7180992569489038,,0.7058485689671676,,
math1,random,2f297742f011b7e7,2,2,,,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7617830020308527,0.802207811892625,0.5050859504913415,0.4376595572233652,0.6875516007705715,0.719966301600674,0.6656194777145101,0.5920471281296024,0.09844129532575607
math1,random,2f297742f011b7e7,2,2,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.7943101643039876,0.8416422556001156,0.42551827808071985,0.38961721061474036,0.7143381341161361,0.7572030328559394,0.7306228373702423,0.6584498696373549,0.007630326319485903
math1,random,2f297742f011b7e7,2,2,,,C-LoRA,C-LoRA (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.763580528021675,0.7830140383394905,0.5081853405447283,0.46933515442576873,0.6859003761122833,0.707329401853412,0.6614593632588491,0.5807385952208545,0.10364915430545807
math1,random,2f297742f011b7e7,2,2,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.8110241115991874,0.8434845351407685,0.4188170944308383,0.3904692236962679,0.7239702779561508,0.7514743049705139,0.7159444916454262,0.6620847651775487,0.0671633780002594
math1,random,2f297742f011b7e7,2,2,,,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.8090320199900536,0.8324828670825897,0.4202862475966375,0.3988607141833156,0.7220438491881479,0.7541701769165965,0.7150648862140304,0.6588730418517652,0.049303725361824036
math1,random,2f297742f011b7e7,2,2,,,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.724222641893443,0.7496523728610673,0.5257764962203515,0.4566158051705287,0.6472800660489864,0.7181128896377422,0.6381857532699727,0.5016383675901103,0.18024705350399017
math1,random,2f297742f011b7e7,2,2,,,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.7865490922355978,0.7251426833427314,0.4682476738552512,0.4719353558732285,0.686175580221998,0.7110362257792755,0.6287574606619641,0.5143018974794675,0.9575483202934264
math1,random,2f297742f011b7e7,2,2,,,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8057585168521547,0.7058987827215574,0.42572753990928863,0.4571987852166877,0.7180992569489038,0.7182813816343724,0.7058485689671676,0.5681818181818182,0.0
math1,random,2f297742f011b7e7,2,2,,,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8057585168521547,0.6956493343702547,0.42572753990928863,0.472506658756421,0.7180992569489038,0.6930075821398484,0.7058485689671676,0.5547409579667644,0.0
math1,random,2f297742f011b7e7,3,3,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.8030996956932875,,0.425510616018503,,0.7230529309237684,,0.7119549661291862,,
math1,random,2f297742f011b7e7,3,3,,,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7566565614254307,0.8112364559673545,0.5027355887844267,0.43390043098739073,0.6871846619576185,0.7320977253580455,0.6748665141113653,0.6009036144578314,0.09779243171215057
math1,random,2f297742f011b7e7,3,3,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.7982495010769571,0.8424273496294613,0.4231707767724467,0.389973229962537,0.7232364003302449,0.7543386689132267,0.7417615338526063,0.6842789086184495,0.007410064805299044
math1,random,2f297742f011b7e7,3,3,,,C-LoRA,C-LoRA (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7627704352218201,0.7941660876017881,0.5034786301838184,0.4590451575632645,0.6890193560223833,0.7211457455770851,0.672463768115942,0.6001449625513409,0.109598807990551
math1,random,2f297742f011b7e7,3,3,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.8114758047257639,0.8400998601461075,0.4249430466087031,0.3938309530685146,0.7300247683698743,0.7474304970513901,0.7504028496310745,0.6627671541057368,0.10931698232889175
math1,random,2f297742f011b7e7,3,3,,,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.8147295808370278,0.8393576156630338,0.41623508309769064,0.39685796345348034,0.7248876249885332,0.7470935130581298,0.719115856514002,0.6508490346592231,0.06969312578439713
math1,random,2f297742f011b7e7,3,3,,,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.7022840414609021,0.6762094425593991,0.5438077133646522,0.4723727391543623,0.624529859645904,0.7130581297388374,0.6147764705882353,0.48843496545509163,0.19901077449321747
math1,random,2f297742f011b7e7,3,3,,,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.7865490922355978,0.7251426833427314,0.4682476738552512,0.4719353558732285,0.686175580221998,0.7110362257792755,0.6287574606619641,0.5143018974794675,0.9575483202934264
math1,random,2f297742f011b7e7,3,3,,,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8030996956932875,0.7351299526986179,0.4255106157991654,0.43055018710879167,0.7230529309237684,0.7566975568660489,0.7119549661291862,0.6035145524437122,0.0
math1,random,2f297742f011b7e7,3,3,,,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8030996956932875,0.6848035056575202,0.4255106157991654,0.4571641709092451,0.7230529309237684,0.7263689974726201,0.7119549661291862,0.598019801980198,0.0
math1,random,2f297742f011b7e7,5,5,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.8073461959632452,,0.4195733229255714,,0.7204843592330978,,0.715844446516833,,
math1,random,2f297742f011b7e7,5,5,,,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7643583002774632,0.81332278343626,0.5045968439582932,0.42740601736299627,0.6823227226859921,0.731592249368155,0.6418450718792016,0.6000502134069796,0.09722934663295746
math1,random,2f297742f011b7e7,5,5,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.7969221781477286,0.8428437995389063,0.4296148418160917,0.38918263001027026,0.7158058893679479,0.75787700084246,0.7086155003762227,0.6590747330960854,0.028987549245357513
math1,random,2f297742f011b7e7,5,5,,,C-LoRA,C-LoRA (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.770065952842433,0.7964503511153302,0.49920354879981843,0.45542391991226205,0.6898449683515274,0.7203032855939343,0.6676496608670008,0.6009615384615384,0.10806933045387268
math1,random,2f297742f011b7e7,5,5,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.8077122024591334,0.8432830858097611,0.4191422392090587,0.3930988990244827,0.7269975231630126,0.7459140690817186,0.7275224317890496,0.6424845898530109,0.06072930991649628
